method_key,budget,budget_pct,accuracy,accuracy_pct,ssd_read_mb_mean,is_pareto_optimal,dominated_by
fullload,,,0.6125,61.25000000000001,1165.0727935999998,True,[]
visionzip_repack_prefix@20,0.2,20.0,0.5458333333333333,54.58333333333333,252.3922432,True,[]
visionzip_repack_prefix@25,0.25,25.0,0.5791666666666667,57.91666666666667,306.0793344,True,[]
visionzip_repack_prefix@30,0.3,30.0,0.5875,58.75,371.5104768,True,[]
visionzip_repack_prefix@35,0.35,35.0,0.5916666666666667,59.166666666666664,435.2638976,True,[]
visionzip_repack_prefix@40,0.4,40.0,0.5916666666666667,59.166666666666664,498.1784576,False,"[""visionzip_repack_prefix@35""]"
visionzip_repack_prefix@45,0.45,45.0,0.6041666666666666,60.416666666666664,551.026688,True,[]
visionzip_repack_prefix@50,0.5,50.0,0.6,60.0,603.8749184,False,"[""visionzip_repack_prefix@45""]"
